# x y z
-5.000000000000000000e+00 -5.000000000000000000e+00 -5.000000000000000000e+00
-4.705882352941176627e+00 -4.705882352941176627e+00 -4.705882352941176627e+00
-4.411764705882353255e+00 -4.411764705882353255e+00 -4.411764705882353255e+00
-4.117647058823528994e+00 -4.117647058823528994e+00 -4.117647058823528994e+00
-3.823529411764705621e+00 -3.823529411764705621e+00 -3.823529411764705621e+00
-3.529411764705882248e+00 -3.529411764705882248e+00 -3.529411764705882248e+00
-3.235294117647058876e+00 -3.235294117647058876e+00 -3.235294117647058876e+00
-2.941176470588235059e+00 -2.941176470588235059e+00 -2.941176470588235059e+00
-2.647058823529411686e+00 -2.647058823529411686e+00 -2.647058823529411686e+00
-2.352941176470588314e+00 -2.352941176470588314e+00 -2.352941176470588314e+00
-2.058823529411764497e+00 -2.058823529411764497e+00 -2.058823529411764497e+00
-1.764705882352941124e+00 -1.764705882352941124e+00 -1.764705882352941124e+00
-1.470588235294117752e+00 -1.470588235294117752e+00 -1.470588235294117752e+00
-1.176470588235293935e+00 -1.176470588235293935e+00 -1.176470588235293935e+00
-8.823529411764701180e-01 -8.823529411764701180e-01 -8.823529411764701180e-01
-5.882352941176467453e-01 -5.882352941176467453e-01 -5.882352941176467453e-01
-2.941176470588233727e-01 -2.941176470588233727e-01 -2.941176470588233727e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.941176470588233727e-01 2.941176470588233727e-01 2.941176470588233727e-01
5.882352941176476335e-01 5.882352941176476335e-01 5.882352941176476335e-01
8.823529411764710062e-01 8.823529411764710062e-01 8.823529411764710062e-01
1.176470588235294379e+00 1.176470588235294379e+00 1.176470588235294379e+00
1.470588235294117752e+00 1.470588235294117752e+00 1.470588235294117752e+00
1.764705882352941124e+00 1.764705882352941124e+00 1.764705882352941124e+00
2.058823529411764497e+00 2.058823529411764497e+00 2.058823529411764497e+00
2.352941176470588758e+00 2.352941176470588758e+00 2.352941176470588758e+00
2.647058823529412130e+00 2.647058823529412130e+00 2.647058823529412130e+00
2.941176470588235503e+00 2.941176470588235503e+00 2.941176470588235503e+00
3.235294117647059764e+00 3.235294117647059764e+00 3.235294117647059764e+00
3.529411764705882248e+00 3.529411764705882248e+00 3.529411764705882248e+00
3.823529411764706509e+00 3.823529411764706509e+00 3.823529411764706509e+00
4.117647058823528994e+00 4.117647058823528994e+00 4.117647058823528994e+00
4.411764705882353255e+00 4.411764705882353255e+00 4.411764705882353255e+00
4.705882352941177516e+00 4.705882352941177516e+00 4.705882352941177516e+00
5.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00
